system   D            wsystem.c:583  maybe_parent_dir                 [   0.00033] Also searching C:\Users\Zach\Projects\nothingSpecial\
display  D   display_settings.c:357  _al_score_display_settings       [   0.01512] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.01513] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01515] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01516] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01517] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01519] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01520] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01522] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01523] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01524] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01526] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01527] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01529] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01530] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01532] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01533] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01534] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01536] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01537] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01539] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01540] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01542] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01543] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01545] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01546] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01547] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01549] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01550] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01552] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01553] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01555] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01556] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01557] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01559] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01560] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01562] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01563] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01565] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01566] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01568] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01569] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01570] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01572] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01573] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01575] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01576] Score is : 585
display  D   display_settings.c:357  _al_score_display_settings       [   0.01577] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01579] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01580] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01582] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01583] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01585] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01586] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01588] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01589] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01591] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01592] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01593] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01595] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01596] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01598] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01599] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01601] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01602] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01604] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01605] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01606] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01608] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01609] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01611] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01612] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01614] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01615] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01617] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01619] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01621] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01622] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01624] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01625] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01627] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01628] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01630] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01631] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01633] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01634] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01636] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01637] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01639] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01640] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01641] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01643] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.01644] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01646] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01647] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01649] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01650] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01651] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01653] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01654] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01656] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01657] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01658] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01660] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01661] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01663] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01664] Score is : 713
